                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.6159,                 2.8065,                 1.2188,                 1.3276,                0.56408,                0.51461,                0.50009,                0.28072,                0.52825,                0.46956,                0.44713,                0.20992,                 1.6672,                 2.9121,                 1.1878,                 1.3966,               0.007921,               0.007921,               0.007921
                     44,                  1.614,                 2.8043,                 1.2125,                 1.3234,                0.55592,                0.51894,                0.50141,                0.28151,                0.51651,                0.46923,                0.44683,                0.21011,                 1.6667,                  2.914,                 1.1837,                  1.395,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6095,                 2.7984,                 1.2159,                 1.3263,                0.55181,                0.52153,                 0.4998,                0.28158,                0.51508,                0.47487,                0.44619,                0.20969,                 1.6651,                 2.9109,                 1.1842,                 1.3943,               0.007822,               0.007822,               0.007822
                     46,                 1.6105,                 2.7994,                 1.2117,                 1.3242,                0.55643,                0.52861,                0.49997,                0.28074,                0.51445,                0.48161,                0.44788,                0.21108,                 1.6642,                 2.9094,                 1.1829,                 1.3942,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6106,                 2.7982,                  1.212,                 1.3203,                0.55468,                0.52798,                0.49925,                0.28085,                0.51151,                0.47804,                 0.4478,                0.21052,                 1.6644,                 2.9103,                 1.1801,                 1.3931,               0.007723,               0.007723,               0.007723
                     48,                 1.6055,                 2.7946,                  1.208,                 1.3214,                 0.5563,                0.52587,                0.49974,                0.28067,                0.52398,                0.47258,                0.44685,                0.21038,                 1.6634,                 2.9111,                 1.1784,                 1.3943,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.6067,                 2.7912,                 1.2027,                 1.3199,                0.55668,                0.52895,                0.50228,                0.28164,                0.52843,                0.47165,                0.44713,                0.21071,                 1.6642,                 2.9123,                 1.1772,                 1.3941,               0.007624,               0.007624,               0.007624
                     50,                 1.6103,                 2.7893,                 1.2058,                 1.3238,                0.55652,                0.52614,                0.50138,                0.28188,                0.51318,                0.47211,                0.44682,                  0.211,                 1.6641,                 2.9125,                 1.1759,                 1.3944,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.6065,                 2.7915,                 1.2085,                 1.3209,                0.54797,                0.52645,                0.50128,                 0.2813,                0.51061,                0.47445,                0.44722,                 0.2107,                 1.6631,                  2.912,                 1.1764,                 1.3947,               0.007525,               0.007525,               0.007525
                     52,                 1.6031,                 2.7897,                 1.2026,                 1.3213,                0.55062,                0.52659,                0.50208,                0.28185,                0.50953,                0.47699,                0.44689,                0.21112,                 1.6636,                 2.9123,                 1.1763,                  1.395,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.598,                 2.7788,                 1.1945,                 1.3148,                0.55063,                0.52643,                0.50191,                0.28198,                0.51164,                0.47852,                0.44728,                0.21135,                 1.6639,                 2.9137,                 1.1756,                 1.3949,               0.007426,               0.007426,               0.007426
                     54,                 1.5979,                 2.7858,                    1.2,                 1.3159,                0.54431,                0.52772,                0.50141,                0.28211,                0.50418,                0.48019,                 0.4482,                0.21137,                 1.6631,                 2.9129,                 1.1754,                 1.3949,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6002,                 2.7839,                 1.1984,                 1.3205,                0.54061,                0.52808,                0.50247,                0.28246,                0.50561,                0.47959,                0.44796,                0.21197,                 1.6621,                 2.9121,                 1.1756,                 1.3955,               0.007327,               0.007327,               0.007327
                     56,                 1.5997,                 2.7815,                 1.1932,                 1.3144,                0.54424,                0.52926,                0.50122,                0.28211,                0.50761,                0.47939,                0.44803,                0.21091,                 1.6619,                 2.9114,                 1.1757,                 1.3952,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6011,                 2.7758,                 1.1891,                 1.3142,                0.55311,                0.52886,                0.50182,                0.28289,                0.51163,                0.48156,                0.44773,                0.21109,                 1.6618,                 2.9115,                 1.1758,                 1.3956,               0.007228,               0.007228,               0.007228
                     58,                 1.5962,                 2.7739,                 1.1923,                 1.3137,                0.54754,                0.53132,                0.50282,                0.28342,                0.50796,                0.48264,                 0.4485,                0.21118,                 1.6619,                 2.9118,                 1.1758,                 1.3962,              0.0071785,              0.0071785,              0.0071785
