                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.5993,                 1.2003,                 1.3159,                0.55209,                0.51652,                0.49356,                0.27671,                 1.6745,                 1.1994,                 1.3993,               0.002476,               0.002476,               0.002476
                     78,                 1.6011,                 1.1952,                 1.3154,                0.55135,                0.51803,                0.49369,                0.27696,                 1.6742,                 1.1992,                 1.3992,               0.002377,               0.002377,               0.002377
                     79,                  1.598,                 1.1963,                 1.3153,                0.55077,                0.51874,                0.49306,                0.27657,                 1.6743,                  1.199,                 1.3992,               0.002278,               0.002278,               0.002278
                     80,                 1.5964,                 1.1931,                 1.3164,                0.55121,                0.51807,                0.49319,                0.27712,                 1.6742,                 1.1988,                  1.399,               0.002179,               0.002179,               0.002179
                     81,                 1.5988,                 1.1901,                 1.3143,                0.55022,                0.51827,                0.49357,                0.27713,                  1.674,                 1.1987,                 1.3989,                0.00208,                0.00208,                0.00208
                     82,                 1.5917,                 1.1897,                 1.3109,                0.55109,                0.51845,                0.49336,                0.27737,                 1.6739,                 1.1987,                 1.3988,               0.001981,               0.001981,               0.001981
                     83,                 1.5914,                 1.1857,                 1.3107,                0.54856,                0.51927,                0.49287,                0.27705,                 1.6738,                 1.1984,                 1.3987,               0.001882,               0.001882,               0.001882
                     84,                 1.5882,                  1.181,                 1.3084,                0.54739,                0.51937,                0.49277,                0.27689,                 1.6739,                 1.1982,                 1.3988,               0.001783,               0.001783,               0.001783
                     85,                 1.5876,                 1.1814,                  1.308,                0.54767,                0.51885,                0.49274,                0.27699,                 1.6738,                 1.1983,                 1.3987,               0.001684,               0.001684,               0.001684
                     86,                 1.5823,                 1.1759,                 1.3062,                 0.5527,                 0.5177,                0.49331,                0.27717,                 1.6741,                  1.198,                 1.3988,               0.001585,               0.001585,               0.001585
                     87,                 1.5822,                 1.1747,                  1.306,                0.54996,                0.51768,                0.49328,                0.27716,                  1.674,                 1.1979,                 1.3987,               0.001486,               0.001486,               0.001486
                     88,                 1.5769,                 1.1695,                 1.3023,                0.55411,                0.51605,                0.49378,                0.27732,                  1.674,                 1.1978,                 1.3987,               0.001387,               0.001387,               0.001387
                     89,                 1.5793,                 1.1691,                 1.3039,                0.55373,                0.51634,                 0.4935,                0.27728,                 1.6741,                 1.1977,                 1.3988,               0.001288,               0.001288,               0.001288
                     90,                 1.5813,                 1.1656,                 1.3019,                0.55344,                0.51803,                0.49378,                 0.2772,                  1.674,                 1.1979,                 1.3987,               0.001189,               0.001189,               0.001189
                     91,                 1.5889,                 1.1476,                 1.3396,                0.55256,                0.52077,                0.49408,                 0.2773,                 1.6741,                 1.1974,                 1.3986,                0.00109,                0.00109,                0.00109
                     92,                 1.5778,                  1.134,                 1.3352,                0.55487,                0.51684,                0.49433,                0.27735,                  1.674,                  1.197,                 1.3986,               0.000991,               0.000991,               0.000991
                     93,                 1.5776,                 1.1317,                 1.3376,                 0.5529,                0.51797,                0.49378,                 0.2776,                  1.674,                 1.1967,                 1.3985,               0.000892,               0.000892,               0.000892
                     94,                 1.5737,                 1.1222,                 1.3332,                0.55432,                 0.5186,                0.49434,                0.27737,                 1.6739,                 1.1966,                 1.3984,               0.000793,               0.000793,               0.000793
                     95,                 1.5691,                 1.1187,                 1.3305,                0.55572,                0.51957,                 0.4936,                0.27706,                 1.6739,                 1.1964,                 1.3984,               0.000694,               0.000694,               0.000694
                     96,                 1.5666,                 1.1154,                 1.3276,                0.55846,                0.51814,                0.49393,                0.27759,                 1.6742,                 1.1963,                 1.3986,               0.000595,               0.000595,               0.000595
                     97,                 1.5619,                 1.1124,                 1.3281,                 0.5606,                0.51727,                0.49348,                 0.2773,                 1.6741,                  1.196,                 1.3986,               0.000496,               0.000496,               0.000496
                     98,                 1.5593,                  1.107,                 1.3263,                 0.5589,                0.51772,                0.49436,                0.27764,                 1.6741,                 1.1959,                 1.3987,               0.000397,               0.000397,               0.000397
                     99,                 1.5602,                 1.1058,                  1.328,                0.55946,                0.51603,                0.49367,                0.27754,                 1.6742,                 1.1958,                 1.3988,               0.000298,               0.000298,               0.000298
                    100,                 1.5554,                 1.1042,                  1.322,                0.56044,                 0.5163,                 0.4944,                0.27781,                 1.6741,                 1.1957,                 1.3988,               0.000199,               0.000199,               0.000199
